beer_id,name,brewery,style,alcohol,release_date,rating,ibu,hops,malts,additives
1,Bosprotter,'t Hofbrouwerijke,Belgian Tripel,6.8,2010-12-27,3.38,27,unknown,unknown,unknown
2,Fruit Tornado (raspberry-strawberry),084Brewery,Sour - Fruited,6,2022-11-18,3.98,15,unknown,unknown,unknown
3,084 Brewery Milkshake Mango-Passion,084Brewery,IPA - Milkshake,6.8,2022-10-28,3.81,30,unknown,unknown,unknown
4,Трюфель Шоколад,084Brewery,Stout - Russian Imperial,6.8,2022-09-12,4.01,30,unknown,unknown,unknown
5,Black Pearl,084Brewery,Sour - Other Gose,5.8,2022-08-03,4.04,17,unknown,unknown,unknown
6,Tomato Meteorite Horseradish,084Brewery,Sour - Other Gose,5.8,2022-04-04,3.96,15,unknown,unknown,unknown
7,Leaden Sky Cherry,084Brewery,Porter - Other,6.5,2022-03-11,3.83,35,unknown,unknown,unknown
8,Fruit Tornado (cherry-strawberry-vanilla),084Brewery,Sour - Fruited,5.8,2021-10-25,4.11,10,unknown,unknown,unknown
9,Tomato Meteorite Smoked,084Brewery,Sour - Other Gose,5.8,2021-04-07,3.76,15,unknown,unknown,unknown
10,Blueberry-Vanilla Clouds,084Brewery,Stout - Other,6.8,2020-12-30,3.83,25,unknown,unknown,unknown
11,Tomato Meteorite,084Brewery,Sour - Other Gose,5.8,2020-12-28,3.72,10,unknown,unknown,unknown
12,Emission Nebula,084Brewery,Sour - Fruited Gose,5,2019-08-11,3.72,15,unknown,unknown,unknown
13,Orange Killer,084Brewery,Sour - Fruited Gose,5,2019-05-01,3.74,15,unknown,unknown,unknown
14,Space Barrel,084Brewery,Stout - Russian Imperial,6.8,2019-01-10,3.71,60,unknown,unknown,unknown
15,Hop&HOP'S Amarillo,084Brewery,IPA - Imperial / Double,6.8,2018-12-21,3.4,58,unknown,unknown,unknown
16,Пьяный Геркулес IPA,084Brewery & John Barleycorn,IPA - Other,4.6,2018-10-18,3.4,45,unknown,unknown,unknown
17,Spicy Jack,084Brewery,Pumpkin / Yam Beer,6.5,2018-10-17,3.61,23,unknown,unknown,unknown
18,LGBTQ/Pride,10 Barrel Brewing Co.,IPA - New England / Hazy,5.9,2019-06-08,3.86,45,unknown,unknown,unknown
19,Chocolate OD 2 BA Belle Meade Bourbon,100 Watt Brewery,Stout - White / Golden,6.8,2022-05-09,3.91,35,unknown,unknown,unknown
20,150 Watt BA Moscatel Sétubal,100 Watt Brewery,Belgian Quadrupel,6.8,2021-12-06,3.98,40,unknown,unknown,unknown
21,Chocolate OD 2,100 Watt Brewery,Stout - White / Golden,6.8,2021-05-01,3.53,35,unknown,unknown,unknown
