Пиво,Пивоварня,Стиль,ABV,IBU,Рейтинг
Bud Light,Anheuser-Busch,Lager - American Light,4.2% ABV,6 IBU,2.335
Heineken,Heineken,Lager - Pale,5% ABV,23 IBU,2.95
IPA,Lagunitas Brewing Company,IPA - American,6.2% ABV,51 IBU,3.701
Traditional Lager,Yuengling Brewery,Lager - American Amber / Red,4.5% ABV,12 IBU,3.496
Corona Extra,Grupo Modelo,Lager - Mexican,4.6% ABV,18 IBU,3.124
Stella Artois,Stella Artois,Pilsner - Other,5% ABV,24 IBU,3.27
Belgian White,Blue Moon Brewing Company,Wheat Beer - Witbier / Blanche,5.4% ABV,9 IBU,3.5
Goose IPA,Goose Island Beer Co.,IPA - American,5.9% ABV,55 IBU,3.511
All Day IPA,Founders Brewing Co.,IPA - Session,4.7% ABV,42 IBU,3.692
Budweiser,Anheuser-Busch,Lager - American,5% ABV,12 IBU,2.62
Pale Ale,Sierra Nevada Brewing Co.,Pale Ale - American,5.6% ABV,38 IBU,3.624
Fat Tire Ale,New Belgium Brewing Company,Blonde / Golden Ale - American,5.2% ABV,15 IBU,3.576
OctoberFest,Samuel Adams,Märzen,5.3% ABV,16 IBU,3.61
60 Minute IPA,Dogfish Head Craft Brewery,IPA - American,6% ABV,60 IBU,3.841
Jai Alai®,Cigar City Brewing®,IPA - American,7.5% ABV,70 IBU,3.924
Sculpin,Ballast Point Brewing Company,IPA - American,7% ABV,70 IBU,3.955
Leffe Blonde / Blond,Abbaye de Leffe,Belgian Blonde,6.6% ABV,20 IBU,3.584
Tripel Karmeliet,Brouwerij Bosteels,Belgian Tripel,8.4% ABV,16 IBU,3.99
Stone IPA,Stone Brewing,IPA - American,6.9% ABV,71 IBU,3.751
Heady Topper,The Alchemist,IPA - Imperial / Double,8% ABV,100 IBU,4.528
Summer Ale,Samuel Adams,Wheat Beer - American Pale Wheat,5.3% ABV,8 IBU,3.414
Oberon Ale,Bell's Brewery,Wheat Beer - American Pale Wheat,5.8% ABV,10 IBU,3.751
Summer Shandy,Jacob Leinenkugel Brewing Company,Shandy / Radler,4.2% ABV,14 IBU,3.524
Hoegaarden Wit / Blanche,Brouwerij Hoegaarden,Wheat Beer - Witbier / Blanche,4.9% ABV,15 IBU,3.551
Big Wave,Kona Brewing Hawaii,Blonde / Golden Ale - American,4.4% ABV,21 IBU,3.521
Torpedo Extra IPA,,Sierra Nevada Brewing Co.,7.2% ABV,65 IBU,3.722
Pilsner Urquell,,Plzeňský Prazdroj,4.4% ABV,40 IBU,3.371
Duvel,,Duvel Moortgat,8.5% ABV,33 IBU,3.723
A Little Sumpin' Sumpin' Ale,,Lagunitas Brewing Company,7.5% ABV,64 IBU,3.782
Paulaner Hefe-Weißbier / Hefe-Weizen / Weissbier,,Paulaner Brauerei,5.5% ABV,16 IBU,3.672
Nastro Azzurro,,Birra Peroni,5.1% ABV,24 IBU,3.164
Modelo Especial,,Grupo Modelo,4.5% ABV,18 IBU,3.13
Dale's® Pale Ale,,Oskar Blues Brewery®,6.5% ABV,65 IBU,3.628
La Chouffe Blond,,Brasserie d'Achouffe,8% ABV,20 IBU,3.82
Dos Equis Lager Especial,,Cervecería Cuauhtémoc Moctezuma S.A. de C.V.,4.2% ABV,10 IBU,3.1
Brooklyn Lager,,Brooklyn Brewery,5.2% ABV,33 IBU,3.452
Birra Moretti L'Autentica / Ricetta Originale,,Birra Moretti,4.6% ABV,12 IBU,3.166
312 Urban Wheat Ale,,Goose Island Beer Co.,4.2% ABV,18 IBU,3.435
