Пиво,Пивоварня,Стиль,ABV,IBU,Рейтинг
Sweet Melon & Passion Fruit,FЁRN CIDER,Cider - Other Fruit,6% ABV,N/A IBU,3.5
Хмельнов Жигулевское Фирменное Светлое,Krinitsa (Криница),Lager - Pale,4.6% ABV,N/A IBU,2.5
Gold Mine Beer,AB InBev Efes,Lager - Pale,4.6% ABV,N/A IBU,2.5
Kill ‘Em All: Garden Berries,Punchiller,Chilli / Chile Beer,5% ABV,N/A IBU,4.25
Crazy Tiger,山东绿洲啤酒有限公司,Wheat Beer - Hefeweizen Light / Leicht,4.3% ABV,N/A IBU,3.25
Wusu Classic,Wusu Breweries (乌苏啤酒厂),Lager - Other,4% ABV,11 IBU,3.75
Zhigulevskoe Traditsionnoe Svetloe (Жигулевское Традиционное Светлое),Zavod Trekhsosensky (Завод Трехсосенский),Lager - Pale,4.5% ABV,N/A IBU,3
Moon Falling,Atmosphere Brewery,Barleywine - Other,15% ABV,30 IBU,4.25
Desert Dreams,Atmosphere Brewery,Barleywine - Other,15% ABV,16 IBU,4.5
Jungle Fears,Atmosphere Brewery,Stout - Russian Imperial,15% ABV,60 IBU,4.5
Edelpilsener,Privatbrauerei Hösl,Pilsner - German,4.9% ABV,N/A IBU,3.5
Eriko Lahja,Snowcap Brewing,Stout - Pastry,7% ABV,20 IBU,4
Tajfun: HBC 1019 & Riwaka,Malanka,IPA - Imperial / Double New England / Hazy,7.8% ABV,50 IBU,4.5
Imhla: Ekuanot,Malanka,IPA - New England / Hazy,6.4% ABV,30 IBU,4
Paparać: Simcoe,Malanka,Wheat Beer - Hopfenweisse,7.6% ABV,40 IBU,4
Dunkel / Dunkel Gold,Staatliches Hofbräuhaus München,Lager - Munich Dunkel,5.5% ABV,23 IBU,3.75
Veškelüs,Snowcap Brewing,Stout - Russian Imperial,11% ABV,50 IBU,4
Brander Bier,Baltika Breweries (Балтика),Lager - Pale,4.5% ABV,N/A IBU,2.25
Zbiten Maladzechanski (Збитень молодеченский) Бузина и мёд,Royal Fruit Bel,Mead - Other,5% ABV,N/A IBU,3.25
O'Hara's West Coast IPA,O'Hara's Brewery,IPA - American,6.2% ABV,40 IBU,3.5
Blanche de Namur Rosée,Brasserie du Bocq,Wheat Beer - Fruited,3.4% ABV,N/A IBU,3.75
Slow Life,Jungle Brewery,IPA - American,6% ABV,60 IBU,4.25
Remorseless Winter,Midnight Project,IPA - Cold,6.9% ABV,50 IBU,4
Vyspa: Eclipse & Riwaka,Malanka,Pale Ale - New England / Hazy,5% ABV,40 IBU,4.25
Еретичка / Heretic,ALASKA brewery,Sour - Tomato / Vegetable Gose,6.5% ABV,N/A IBU,4
Mitrenha: Talus & Ekuanot,Malanka,IPA - Imperial / Double,8% ABV,80 IBU,4
Keep the Faith in Your Diet in the Middle of the Night,Midnight Project,IPA - Imperial / Double Black,9% ABV,70 IBU,4.25
Pulse. New Year Mandarin,Hops Brewery,Sour - Fruited,6% ABV,N/A IBU,4
Pavietra: Eclipse,Malanka,Pale Ale - New England / Hazy,5.1% ABV,40 IBU,4
Everyday Wheat,Hops Brewery,Wheat Beer - Hefeweizen,5.3% ABV,6 IBU,3.75
Spirit Reaver,Midnight Project,IPA - Imperial / Double,7.9% ABV,70 IBU,4.25
Osiris,Midnight Project,Porter - Other,9% ABV,60 IBU,4.25
Baraba,Banjalučka Pivara,Lager - Pale,4.2% ABV,N/A IBU,3
Black Winter Day,Plan B Brewery,Stout - Imperial / Double,9% ABV,N/A IBU,4
Be Urban,Krinitsa (Криница),Lager - Pale,4.2% ABV,N/A IBU,3
O'Hara's Hazy IPA,O'Hara's Brewery,IPA - New England / Hazy,6.8% ABV,40 IBU,3.5
Lost,BrewDog,Pilsner - Other,4.5% ABV,N/A IBU,3.75
Wolpertinger Pils,German Beverage Group Ltd,Pilsner - German,4.7% ABV,N/A IBU,2.75
Eboshi Happoshu,Brand Direct BV,Happoshu,4.6% ABV,N/A IBU,3
Lost In Blood Orange,BrewDog,Pilsner - German,4.5% ABV,20 IBU,3.5
Black Heart,BrewDog,Stout - Irish Dry,4.1% ABV,N/A IBU,3.75
Ceanannas Mór (Келлс),Brauning Bier (Браунинг Бир),Stout - Irish Dry,5% ABV,15 IBU,3.75
Джоуль,Plan B Brewery,IPA - New England / Hazy,6% ABV,40 IBU,4
Под ведьмачьим мечом,Black Cat Brewery,Stout - Irish Dry,4.9% ABV,20 IBU,3.75
Hidden Bay,Stamm Brewing,IPA - American,6.5% ABV,N/A IBU,4.25
Montréal (Монреаль),Brauning Bier (Браунинг Бир),Winter Ale,6.5% ABV,10 IBU,4
Mellow Dream,Plan B Brewery,Stout - Milk / Sweet,5.5% ABV,N/A IBU,4
Jager Weisse / Simcoe Weisse,Camba Bavaria,Wheat Beer - Hopfenweisse,5.2% ABV,29 IBU,3.75
Hobgoblin Dark Stout,Marston's Brewery,Stout - English,4.1% ABV,N/A IBU,3.25
Pickles With Garlic,Plague Brew,Sour - Other Gose,4.5% ABV,6 IBU,4.25
Сидр Старовар вишня,Старовар,Cider - Sweet,4.5% ABV,N/A IBU,3
ВАСИЛЕОСТРОВСКОЕ красный эль / VASILEOSTROVSKOE red ale,Vasileostrovskaya Brewery (Василеостровская Пивоварня),Red Ale - Other,4.5% ABV,30 IBU,3
Sunny Twist,Jungle Brewery,Sour - Fruited,5% ABV,10 IBU,4.25
Vic Secret One Love,Jungle Brewery,IPA - Session,5% ABV,30 IBU,4
CHRISTMAS IPA HAS Brew,HAS Brew,IPA - Belgian,6.6% ABV,50 IBU,3.75
FACTORY RIS: ORANGE,Robim Good Brewery,Stout - Russian Imperial,6.7% ABV,20 IBU,2
Менскi пiлс,Пивоварня Ортодокс,Pilsner - German,4.5% ABV,35 IBU,3.75
PINEAPPLE ALE,Vasileostrovskaya Brewery (Василеостровская Пивоварня),Fruit Beer,6% ABV,14 IBU,3.25
Cyklon: Cascade & Medusa,Malanka,IPA - New England / Hazy,7% ABV,70 IBU,4
Квас Сказочный Тёмный,БелАкваБай,Kvass,1.2% ABV,N/A IBU,3.25
Hollandia | Alcohol Free,Moscow Brewing Company (Московская Пивоваренная Компания),Non-Alcoholic - Lager,0.5% ABV,N/A IBU,3.25
Балтика #0 Безалкогольное Вишня Black Edition,Baltika Breweries (Балтика),Non-Alcoholic - Shandy / Radler,0.5% ABV,N/A IBU,3.5
My Apricot Morning,Jaws Brewery,Non-Alcoholic - Pale Ale,0.5% ABV,30 IBU,3.75
Everyday,Bierstaat,Lager - Dark,5% ABV,N/A IBU,3
КАДЕНС,Bakunin Brewing Co.,Non-Alcoholic - Lager,0.5% ABV,35 IBU,3.25
"Moose, Just Moose",Konix Brewery,Non-Alcoholic - Lager,0.5% ABV,20 IBU,3.25
Feldschlößchen Lager Light,Feldschlößchen Dresden,Lager - Pale,3.9% ABV,N/A IBU,2.75
Long Road,Jungle Brewery,Porter - Imperial / Double Baltic,11% ABV,30 IBU,4
All-Black the Necrosword,Midnight Project,IPA - Imperial / Double Black,10% ABV,90 IBU,4.25
Seth & Riley’s Garage Hard Mandarin Drink,Пивоваренная компания «Аливария» (Alivaria Brewery),Shandy / Radler,4.6% ABV,N/A IBU,3.5
Seth & Riley's Garage Hard Peach,Baltika Breweries (Балтика),Shandy / Radler,4.6% ABV,N/A IBU,3.5
Зелёный Змей,White Stone,Sour - Tomato / Vegetable Gose,5.5% ABV,7 IBU,4.25
Pazuzu,Midnight Project,Stout - American,10% ABV,95 IBU,4.25
Baltic Spirit,BIERBANK,Porter - Baltic,7.5% ABV,25 IBU,4.25
Landbier,Privatbrauerei Einsiedler Brauhaus,Lager - Dortmunder / Export,5% ABV,25 IBU,3.5
Крепкий опыт: Копченый Имперский стаут,Nuclear Brewery,Stout - Imperial / Double,9.5% ABV,20 IBU,3.75
TIME TO MAKE A WISH,Big Village Brewery,Stout - Imperial / Double,8.5% ABV,30 IBU,4
It’s A Sin,Brouwerij Kees,Stout - Imperial / Double,13.8% ABV,56 IBU,4.25
The Pastry Knight,Selfmade Brewery,Cream Ale - Imperial / Double,10% ABV,15 IBU,4
Lost In Guava,BrewDog,Pilsner - German,4.5% ABV,20 IBU,3.5
Zatlum: Sorachi Ace,Malanka,IPA - Black / Cascadian Dark Ale,7% ABV,90 IBU,4
Ručaj: Dvanaccatka,Malanka,Pilsner - Czech / Bohemian,4.8% ABV,40 IBU,4
Sky Stalker,Jungle Brewery,IPA - Imperial / Double,9.1% ABV,100 IBU,4.25
Здурнелі зусім і дадалі ў пшанічку Сабра,Midnight Project,Wheat Beer - Hopfenweisse,6.9% ABV,24 IBU,4.25
Cats & Dogs,Black Cat Brewery,Stout - Imperial / Double Pastry,13% ABV,15 IBU,4.25
Vienna Lager,Sozhski Beer,Lager - Vienna,5.3% ABV,22 IBU,3.5
Железнодорожная вода,ALASKA brewery,Stout - Russian Imperial,14.8% ABV,N/A IBU,4.25
Хёд,Медоварня Традиции Предков,Mead - Other,4.7% ABV,N/A IBU,3.75
Эйяфьядлайёкюдль,ALASKA brewery,Porter - Smoked,8% ABV,N/A IBU,3.75
Горгона,CHIBIS Brewery,IPA - New England / Hazy,6.5% ABV,N/A IBU,4
Речицкое вишнёвое,Бобруйский бровар,Fruit Beer,6.4% ABV,N/A IBU,2.5
Abšar: Motueka,Malanka,IPA - White / Wheat,7.8% ABV,40 IBU,4.25
MÄHDRESCHER,Hops Brewery,Wheat Beer - Dunkelweizen,5% ABV,7 IBU,3.75
VOID,Main Rule,Stout - Other,6.8% ABV,N/A IBU,4
Turtle's Stout,Panzer Brewery,Stout - Oatmeal,5% ABV,30 IBU,4
Fiesta,Amsterdam Brewers,Lager - Mexican,4.7% ABV,N/A IBU,3
Saĺsa: Boršč,Malanka,Sour - Tomato / Vegetable Gose,4% ABV,N/A IBU,4.25
