Пивоварня,Стиль,Плотность,Алкоголь,Горечь,Хмель,Начало выпуска,Рейтинг,Пиво,Солод,Производство,Подрядчик,Добавки,Ссылка
Beaver,Red Ale - American Amber / Red,"11,5%","4,8%",25 IBU,                                                                            Citra                                                                        ,27.04.2016,"3,17",Red Ale (Citra),,,,,https://your.beer/beer/red-ale-citra
Beaver,Stout - Other,,"5,8%",35 IBU,,07.09.2016,"3,267",Stout 949,,,,,https://your.beer/beer/stout-949
Beaver Brewing Company,Wheat Beer - Hefeweizen,,"6,0%",,,19.10.2018,"3,258",Beaver Weisse,,,,,https://your.beer/beer/beaver-brewing-company-beaver-weisse
Beavertown,Non-Alcoholic Beer - Other,,"0,3%",35 IBU,,03.10.2020,"3,142",Lazer Crush,,,,,https://your.beer/beer/beavertown-lazer-crush
Beavertown,IPA - American,,"6,7%",65 IBU,"                                                                            Citra,                                                                             Mosaic,                                                                             Ekuanot                                                                        ",03.09.2016,"3,777",Lupuloid,"                                                                            Pale Ale,                                                                             Wheat,                                                                             Flaked Oats,                                                                             Acidulated                                                                        ",                                        постоянный выпуск                                     ,,,https://your.beer/beer/beavertown-lupuloid
Beavertown,IPA - American,,"5,5%",40 IBU,"                                                                            Columbus,                                                                             Citra,                                                                             Simcoe,                                                                             Amarillo                                                                        ",17.05.2013,"3,68",Bloody 'Ell,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/beavertown-bloody-ell
Beavertown,IPA - Session,,"4,3%",31 IBU,"                                                                            Magnum,                                                                             Columbus,                                                                             Centennial,                                                                             Simcoe,                                                                             Amarillo,                                                                             Galaxy,                                                                             Vic Secret,                                                                             Mosaic                                                                        ",24.02.2012,"3,636",Neck Oil,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/beavertown-neck-oil
Beavertown,IPA - Session,,"2,8%",25 IBU,,27.04.2020,"3,185",Nanobot,,,,,https://your.beer/beer/beavertown-nanobot
"Firestone Walker, Beavertown",Lager - IPL (India Pale Lager),,"6,5%",17 IBU,,26.05.2017,"3,596",West Side Beavo,,,,,https://your.beer/beer/firestone-walker-brewing-company-west-side-beavo
Beavertown,Pale Ale - American,,"5,4%",45 IBU,"                                                                            Magnum,                                                                             Columbus,                                                                             Bravo,                                                                             Amarillo                                                                        ",29.09.2012,"3,725",Gamma Ray,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/beavertown-gamma-ray
Becher Bräu,Kellerbier / Zwickelbier,,"4,7%",,,06.04.2013,"3,26",Original,,,,,https://your.beer/beer/becher-brau-original
Becker Bier,Pilsner - Other,,"4,7%",,,03.04.2022,N/A,Pilsen,,,,,https://your.beer/beer/becker-bier-pilsen
Beer & Fish,Wheat Beer - Other,,,,,07.07.2019,N/A,Пиво биле,,,,,https://your.beer/beer/beer-and-fish-pivo-bile
Beer Bank,Lager - Pale,,"4,7%",16 IBU,,15.06.2019,"3,354",Світле,,,,,https://your.beer/beer/beer-bank-svitle
Beer Bank,Wheat Beer - Hefeweizen,,"4,9%",16 IBU,,15.06.2019,"3,246",Пшеничне,,,,,https://your.beer/beer/beer-bank-pshenichne
"Funky Fluid, Beer Bastards Brewing",Sour - Smoothie / Pastry,,"5,8%",,,23.01.2021,"4,109",Gelato: Blue Velvet,,,,,https://your.beer/beer/funky-fluid-gelato-blue-velvet
Beer Brain,IPA - Session,,"4,5%",,,28.03.2021,"3,536",Fix You,,,,,https://your.beer/beer/beer-brain-fix-you
Beer Bros Brewery,IPA - Imperial / Double,,"6,8%",110 IBU,,16.10.2019,"3,71",Heavy Gratefulness,,,,,https://your.beer/beer/beer-bros-brewery-heavy-gratefulness
Beer Bros Brewery,Pilsner - German,,"5,0%",27 IBU,,15.08.2018,"3,309",Brotherhood Pils,,,,,https://your.beer/beer/beer-bros-brewery-brotherhood-pils
Beer Bros Brewery,IPA - American,,"6,8%",68 IBU,,17.07.2016,"3,581",Mango Mayhem,,,,,https://your.beer/beer/beer-bros-brewery-mango-mayhem
Beer Bros Brewery,Pale Ale - American,,"5,5%",25 IBU,,10.01.2018,"3,62",Smart Admin,,,,,https://your.beer/beer/beer-bros-brewery-smart-admin
Beer Bros Brewery,Stout - Milk / Sweet,,"4,5%",30 IBU,,27.02.2019,"3,551",Sweet Home,,,,,https://your.beer/beer/beer-bros-brewery-sweet-home
Beer Bros Brewery,Porter - Baltic,,"6,8%",25 IBU,,20.12.2019,"3,571",Baltic Phoenix,,,,,https://your.beer/beer/beer-bros-brewery-baltic-phoenix
