name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
Sweet Melon & Passion Fruit,Fёrn Cider,Cider - Other Fruit,2020-05-26,3.5,,,,"Melon,Passion fruit",6.0,,4
Gold Mine Beer,Anadolu Efes,Lager - Pale,,2.142,,,,,4.5,,2
Kill ‘Em All: Garden Berries,Punchiller,Chilli / Chile Beer,2024-10-16,4.531,,,,"Cherry,Black Currant,Blackberry,Cowberry,Red Pepper",5.0,,4
Edelpilsener,Privatbrauerei Hösl,Pilsner - German,2013-04-01,3.165,,,,,4.9,,4
Eriko Lahja,Snowcap Brewing,Stout - Pastry,2024-11-18,4.271,20.0,,,,6.8,,4
Paparać: Simcoe,Malanka,Wheat Beer - Hopfenweisse,2024-12-27,,40.0,,,,6.8,,4
Veškelüs,Snowcap Brewing,Stout - Russian Imperial,2020-09-06,4.025,50.0,,,,6.8,,4
O'Hara's West Coast IPA,O’Hara’s Brewery,IPA - American,2021-04-23,3.578,40.0,,,,6.2,,4
Blanche de Namur Rosée,Brasserie du Bocq,Fruit Beer,2014-03-10,3.122,,,,Raspberry Juice,3.4,,4
Remorseless Winter,Midnight Project,IPA - Cold,2024-12-13,4.047,50.0,"Mosaic,Simcoe",,,6.9,,4
Mitrenha: Talus & Ekuanot,Malanka,IPA - Imperial / Double,2024-12-25,4.418,80.0,"Talus,Ekuanot",Pilsner,,6.8,18.5,4
Pulse. New Year Mandarin,Hops Brewery,Sour - Fruited,2024-12-26,4.411,,,,"Lactose,Mandarin",6.0,,4
Pavietra: Eclipse,Malanka,Pale Ale - New England / Hazy,2024-11-25,4.305,40.0,Eclipse,"Pilsner,Wheat,Flaked Wheat",,5.1,14.0,4
Everyday Wheat,Hops Brewery,Wheat Beer - Hefeweizen,2024-12-19,3.974,6.0,,,,5.3,,4
Spirit Reaver,Midnight Project,IPA - Imperial / Double,2024-09-01,,70.0,,,,6.8,,4
Osiris,Beaver,Wheat Beer - Hefeweizen,2024-01-08,3.468,,,,,4.7,,4
Baraba,Banjalučka Pivara,Lager - Pale,2021-05-23,2.871,,,,,4.2,,3
Black Winter Day,Plan B Brewery,Stout - Imperial / Double,2024-10-08,4.135,,,,,6.8,,4
Be Urban,Крыніца,Lager - Pale,2023-03-24,2.599,,,,,4.2,10.0,3
O'Hara's Hazy IPA,O’Hara’s Brewery,IPA - New England / Hazy,2021-04-23,3.556,40.0,,,,6.8,,4
Lost,BrewDog,Pilsner - Other,2021-01-13,3.306,,,,,4.5,,4
Lost In Blood Orange,BrewDog,Pilsner - German,2021-12-10,3.317,20.0,,,,4.5,,4
Black Heart,Taler,IPA - Black / Cascadian Dark Ale,2018-02-14,3.763,60.0,"Cascade,Columbus,Summit,El Dorado",,,5.6,15.0,4
Джоуль,Plan B Brewery,IPA - New England / Hazy,2024-10-28,3.841,40.0,,,,6.0,,4
Под ведьмачьим мечом,Black Cat Brewery,Stout - Irish Dry,2024-10-31,3.521,20.0,,,,4.9,,4
Hidden Bay,Stamm Brewing,IPA - American,2024-10-14,3.962,,,,,6.5,,4
Montréal (Монреаль),Brauning Bier,Winter Ale,2024-12-28,,10.0,,,,6.5,,4
Mellow Dream,Plan B Brewery,Stout - Milk / Sweet,2023-09-11,3.892,,,,,5.5,,4
Jager Weisse / Simcoe Weisse,Camba Bavaria,Wheat Beer - Hefeweizen,2014-08-10,3.632,29.0,,,,5.2,,4
Pickles With Garlic,Plague Brew,Sour - Other Gose,2024-04-03,4.303,6.0,,,,4.5,,4
Сидр Старовар вишня,Старовар,Cider - Sweet,2024-10-28,,,,,,4.5,,3
ВАСИЛЕОСТРОВСКОЕ красный эль / VASILEOSTROVSKOE red ale,Василеостровская пивоварня,Red Ale - Other,2014-07-28,3.057,30.0,,,,4.5,,3
Sunny Twist,Jungle Brewery,Sour - Fruited,2024-12-23,4.241,10.0,,,,5.0,,4
FACTORY RIS: ORANGE,Robim Good Brewery,Stout - Russian Imperial,2024-12-23,3.438,20.0,,,,6.7,,2
Менскi пiлс,"SVOI Brewing,Punchiller",Pilsner - German,2024-08-14,3.812,35.0,,,,4.5,,4
My Apricot Morning,Jaws,Non-Alcoholic Beer - Other,2019-07-02,3.594,30.0,,,,0.5,,4
Everyday,Plague Brew,IPA - Session,2023-11-27,3.871,40.0,,,,5.0,,3
КАДЕНС,Бакунин,,2024-05-27,3.39,35.0,,,,0.5,,3
Long Road,Jungle Brewery,Porter - Imperial / Double Baltic,2024-12-23,4.342,30.0,,,,6.8,,4
All-Black the Necrosword,Midnight Project,IPA - Imperial / Double Black,2024-12-27,4.148,90.0,,,,6.8,,4
Seth & Riley’s Garage Hard Mandarin Drink,Аліварыя,Shandy / Radler,2024-11-06,3.277,,,,,4.6,,4
Seth & Riley's Garage Hard Peach,Балтика,Shandy / Radler,2022-07-13,3.103,,,,,4.6,,4
Зелёный Змей,White Stone Brewery,Sour - Tomato / Vegetable Gose,2024-11-01,3.988,7.0,,,,5.5,,4
Pazuzu,Midnight Project,Stout - American,2024-09-01,,95.0,,,,6.8,,4
Baltic Spirit,Bierbank,Porter - Baltic,2024-12-25,4.29,25.0,,,,6.8,,4
Landbier,Distelhäuser Brauerei,Lager - Red,2013-07-21,3.359,22.0,,,,5.1,,4
Крепкий опыт: Копченый Имперский стаут,Nuclear Brewery,Stout - Imperial / Double,2024-12-16,3.569,20.0,,,,6.8,,4
It’s A Sin,"Brouwerij Kees,Pühaste",Stout - Imperial / Double,2024-03-05,3.954,56.0,,,,6.8,,4
The Pastry Knight,Selfmade Brewery,Cream Ale - Imperial / Double,2024-11-19,,15.0,,,,6.8,,4
Lost In Guava,BrewDog,Pilsner - German,2021-12-10,3.371,20.0,,,,4.5,,4
Zatlum: Sorachi Ace,Malanka,IPA - Black / Cascadian Dark Ale,2024-12-23,4.303,90.0,Sorachi Ace,"Pilsner,Chocolate,Black",,6.8,17.0,4
Ručaj: Dvanaccatka,Malanka,Pilsner - Czech / Bohemian,2024-12-13,4.196,40.0,Saaz,"Pilsner,Caramel",,4.8,,4
