name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
Morning Manya,Zavod,Sour - Tomato / Vegetable Gose,2019-06-07,3.879,7.0,,,,4.1,,4
Pošasć: Strata,Malanka,IPA - Quadruple,2024-12-18,4.534,150.0,Strata,Pilsner,,6.8,24.0,4
Canyon,Stamm Brewing,IPA - New England / Hazy,2024-08-06,4.085,,,,,6.5,,4
Saĺsa: Boršč,Malanka,Sour - Tomato / Vegetable Gose,2024-12-18,4.288,,,"Pilsner,Wheat,Flaked Wheat","Beetroot,Onion,Black Pepper,Red Pepper,Bay Leaf,Coriander,Caraway",4.0,12.0,4
Arcadia,Stamm Brewing,IPA - New England / Hazy,2024-08-19,4.059,,,,,6.5,,4
Got Some Milk?,Jungle Brewery,Stout - Milk / Sweet,2018-12-04,4.084,30.0,Simcoe,,Lactose,6.5,18.5,4
Evil Jungle,Jungle Brewery,IPA - Triple,2024-09-02,4.319,100.0,"Citra,Amarillo",,,6.8,24.5,4
Spirit Reaver,Midnight Project,IPA - Imperial / Double,2024-09-01,,70.0,,,,6.8,,4
Harvest Festival,Bierstaat,Wheat Beer - Hefeweizen,2024-11-11,3.729,,,,,5.3,,4
American Pale Ale,13 Litar,Pale Ale - American,2016-08-17,3.891,35.0,,,,5.0,,4
IPA v.3,Волковская пивоварня,IPA - Session,2017-02-08,3.563,55.0,,,,5.9,,4
Fiordland Sky,Bierstaat,Pilsner - New Zealand,2024-12-02,3.885,27.0,,,,5.2,,4
Long Road,Jungle Brewery,Porter - Imperial / Double Baltic,2024-12-23,4.342,30.0,,,,6.8,,4
Shroomdalf,Selfmade Brewery,Sour - Other Gose,2023-06-09,4.209,8.0,,,,5.2,,4
#2,Sozhski Beer,Pilsner - German,2021-02-26,3.529,20.0,,,,4.0,,4
СИДР Вишневый,СИДР,Cider - Other Fruit,2023-06-23,3.969,,,,,5.0,,4
Your Quadruple Sour Advent Juice,Midnight Project,Sour - Fruited,2024-11-27,4.336,15.0,,,,6.8,,4
Перцы рядом сверлят взглядом,4BREWERS,Sour - Other Gose,2024-11-12,4.061,,,,,4.5,,4
Smuha: Superdelic,Malanka,IPA - Imperial / Double New England / Hazy,2024-12-04,4.407,40.0,Superdelic,"Pilsner,Wheat,Flaked Wheat,Flaked Oats",,6.8,18.4,4
Krush Bandicoot,Midnight Project,IPA - New England / Hazy,2024-12-20,4.209,25.0,,,,6.3,,4
Your Quadruple Sour Cranberry Juice,Midnight Project,Sour - Fruited,2022-11-25,4.118,15.0,,,,6.8,,4
Cherry & Chocolate Mead,Степь и ветер,Mead - Melomel,2019-06-20,,,,,,6.8,,4
Spicy Cocoa Stout,Sozhski Beer,Stout - Milk / Sweet,2024-11-27,4.005,15.0,,,,6.9,,4
Mimic Chest,Selfmade Brewery,Stout - Milk / Sweet,2021-12-21,3.937,22.0,,,"Vanilla,Tonka Beans",6.8,,4
Sunny Twist,Jungle Brewery,Sour - Fruited,2024-12-23,4.241,10.0,,,,5.0,,4
Şalgam Spicy,Zavod,Sour - Other Gose,2024-06-24,4.107,,,,,4.5,,5
Full Circle,Jungle Brewery,Pilsner - German,2024-11-25,4.004,28.0,"Hallertau Blanc,Tettnanger",,,5.0,11.7,4
Tomatoni: BBQ,Jungle Brewery,Sour - Other Gose,2023-02-21,4.285,10.0,,,,5.0,13.0,4
Ceremony,Selfmade Brewery,IPA - New England / Hazy,2020-12-02,3.974,42.0,"Simcoe,Mosaic",,,6.8,,4
Ručaj: Dvanaccatka,Malanka,Pilsner - Czech / Bohemian,2024-12-13,4.196,40.0,Saaz,"Pilsner,Caramel",,4.8,,4
Ultraviolence,"Time Bomb Brewery,White Stone Brewery",IPA - Triple New England / Hazy,2024-05-23,4.115,,,,,6.8,,4
Mitrenha: Citra & Simcoe,Malanka,IPA - Imperial / Double,2024-10-07,4.375,80.0,"Citra,Simcoe",Pilsner,,6.8,18.5,4
Bliskavica: Nectaron & Nelson,Malanka,IPA - New England / Hazy,2024-12-11,4.39,40.0,"Nectaron,Nelson Sauvin","Pilsner,Wheat,Flaked Wheat,Flaked Oats",,6.8,17.0,4
Dark Hall,Bierbank,Stout - American,2024-12-12,4.125,40.0,,,,6.8,,4
White Rabbit,Browar Stu Mostów,IPA - Imperial / Double New England / Hazy,2022-09-21,3.85,,,,,6.8,,4
Hop Headshot: El Dorado,Midnight Project,IPA - Triple,2021-12-24,4.152,111.0,El Dorado,,,6.8,,4
First Encounter,"Brewmen,Ostrovica",IPA - New England / Hazy,2023-09-15,3.852,30.0,,,,6.8,,4
Blanche A'la Citronnelle,"Panzer Brewery,Bierstaat",Wheat Beer - Witbier / Blanche,2024-05-21,3.879,10.0,,,,5.0,,4
Pavietra: Galaxy,Malanka,Pale Ale - New England / Hazy,2024-07-24,4.194,40.0,Galaxy,"Pilsner,Wheat,Flaked Wheat",,5.5,15.0,4
Howard Loves Cat,Midnight Project,Pale Ale - New England / Hazy,2024-10-25,3.943,25.0,,,,5.0,,4
Pazuzu,Midnight Project,Stout - American,2024-09-01,,95.0,,,,6.8,,4
All-Black the Necrosword,Midnight Project,IPA - Imperial / Double Black,2024-12-27,4.148,90.0,,,,6.8,,4
Здурнелі зусім і дадалі ў пшанічку Сабра,Midnight Project,Wheat Beer - Hopfenweisse,2024-12-20,4.032,24.0,,,,6.9,,4
Remorseless Winter,Midnight Project,IPA - Cold,2024-12-13,4.047,50.0,"Mosaic,Simcoe",,,6.9,,4
小島さんは鬼才です。,Midnight Project,Lager - Japanese Rice,2024-11-29,3.881,10.0,,,,4.6,,4
Frederick,Midnight Project,Stout - Imperial / Double Pastry,2024-11-27,4.024,65.0,,,,6.8,,4
Imhla: Nelson Amplifire,Malanka,IPA - New England / Hazy,2024-11-13,4.458,40.0,,,,6.6,,4
Свярдлоўскі дваровы кот,Midnight Project,IPA - American,2024-11-21,,50.0,,,,6.6,,4
Little Big Hero,Midnight Project,IPA - Triple New England / Hazy,2023-01-20,4.225,10.0,,,,6.8,,4
Juniper & Basil Tonic Mead,Степь и ветер,Mead - Other,2024-04-05,4.007,,,,,4.5,,4
FACTORY TRIPLE IPA,Robim Good Brewery,IPA - Triple,2024-11-11,4.293,120.0,Nectaron,,,6.8,,4
Zhigulikkeller,"Midnight Project,Mikkeller,Selfmade Brewery",Lager - IPL (India Pale Lager),2019-02-12,3.914,37.0,"Citra,Simcoe",,,4.2,,4
Spectral Elixir,Midnight Project,Pale Ale - New England / Hazy,2024-11-29,4.141,20.0,,,,4.8,,4
Boost: Citra & Nelson Sauvin,Jungle Brewery,Pale Ale - New England / Hazy,2024-11-11,4.396,30.0,,,,5.9,,4
Hop Headshot: Strata,Midnight Project,IPA - Triple,2024-10-04,4.226,111.0,,,,6.8,,4
Closed Party,Midnight Project,IPA - Imperial / Double,2024-09-19,4.293,65.0,,,,6.8,,4
Burn Masha,Zavod,Sour - Traditional Gose,2018-12-07,4.073,8.0,,,,6.9,,3
Tomatoni: Ajika,Jungle Brewery,Sour - Other Gose,2022-10-24,4.154,10.0,,,,5.0,13.0,4
Шабаны,"Chibis Brewery,Bierstaat",Lager - Helles,2023-07-20,3.664,,,,,4.7,,4
Rager: HBC-682,Valaduta,IPA - Imperial / Double,2024-11-15,4.339,70.0,,,,6.8,,4
Tomato Soul Smoked Edition,Brewmen,Sour - Traditional Gose,2021-06-15,4.0,30.0,,,,5.5,,4
Red River,Stamm Brewing,Pale Ale - American,2014-10-07,3.741,60.0,,,,5.5,,4
Thunderclap,Bierstaat,Stout - Milk / Sweet,2024-11-11,4.017,,,,,6.2,,4
Anubis,Midnight Project,Porter - Imperial / Double Baltic,2024-03-07,4.165,50.0,,,,6.8,,4
Pavaloka: HBC 1019,Malanka,IPA - Triple New England / Hazy,2024-10-30,4.495,40.0,HBC 1019,"Pilsner,Wheat,Flaked Wheat,Flaked Oats",,6.8,21.0,4
Chainsword,Midnight Project,IPA - Imperial / Double,2024-09-27,4.077,60.0,,,,6.8,,4
Vehkoi,Snowcap Brewing,IPA - American,2023-12-25,4.062,50.0,,,,6.8,,4
Banana Kraken,Panzer Brewery,Wheat Beer - Hefeweizen,2014-07-07,3.47,11.0,,,,4.5,,4
Juicy IPA,Frydenlund Bryggerier,IPA - New England / Hazy,2020-02-11,3.358,,,,,4.6,,4
Mikli,Snowcap Brewing,IPA - American,2024-05-20,3.981,50.0,,,,6.8,,4
Mead Pyment,Степь и ветер,Mead - Pyment,2024-04-05,4.097,,,,,6.0,,4
Shroomdalf Garlic,Selfmade Brewery,Sour - Other Gose,2024-07-12,4.126,10.0,,,,5.0,,4
Replica: BRU-1,Zagovor Brewery,IPA - New England / Hazy,2021-07-30,3.968,30.0,BRU-1,,,6.5,16.0,4
NEXT LEVEL-MOSAIC,Big Village Brewery,IPA - Imperial / Double New England / Hazy,2022-10-06,4.092,40.0,,,,6.8,,4
Vyspa: Mosaic & Cascade,Malanka,Pale Ale - New England / Hazy,2024-10-17,4.147,40.0,"Mosaic,Cascade","Pilsner,Wheat,Flaked Wheat",,5.4,13.0,4
Hel,Midnight Project,Stout - Imperial / Double Oatmeal,2024-10-25,4.211,40.0,,,,6.8,,4
Chaliera: Simcoe,Malanka,IPA - American,2021-01-10,4.113,50.0,Simcoe,Pilsner,,5.7,13.0,4
Cyklon: Medusa,Malanka,IPA - New England / Hazy,2024-10-14,4.249,40.0,Medusa,"Pilsner,Wheat,Flaked Wheat,Flaked Oats",,6.8,17.0,4
Blend Me! Sour & Melomel,Midnight Project,Mead - Other,2024-08-30,4.151,,,,,6.8,,4
Dym: Malina,Malanka,Historical Beer - Lichtenhainer,2024-07-31,4.067,,,"Pilsner,Wheat,Flaked Wheat,Smoked,Peated",Raspberry,4.0,11.0,4
Spirit Chaser,Jungle Brewery,IPA - New England / Hazy,2024-10-14,4.326,35.0,"Citra,Amarillo,El Dorado",,,6.7,16.1,4
Зависимость [Ribs Addiction],"4BREWERS,Frank By Basta",Sour - Other Gose,2023-09-18,3.71,,,,,5.0,,4
ERIS,Midnight Project,Stout - Russian Imperial,2018-06-09,4.364,120.0,,,,6.8,,4
Cranberry And Tonka Beans Mead,"Степь и ветер,Midnight Project",Mead - Melomel,2024-08-07,4.215,,,,,6.8,,4
Alho,Snowcap Brewing,Sour - Other Gose,2024-05-08,3.963,10.0,,,,6.0,,4
Rainy Days,Midnight Project,IPA - Imperial / Double New England / Hazy,2023-10-20,4.184,30.0,"Ahhhroma,Idaho 7,Mosaic",,,6.8,,4
Hot In the Shade,Rewort Brewery,Sour - Tomato / Vegetable Gose,2023-05-04,4.147,,,,,6.1,20.5,4
Kali's Kiss,Rewort Brewery,Sour - Other Gose,2021-11-10,4.096,,,,,6.3,20.5,4
Tajfun: Nelson & Galaxy,Malanka,IPA - Imperial / Double New England / Hazy,2024-09-17,4.211,50.0,"Nelson Sauvin,Galaxy","Pilsner,Wheat,Flaked Wheat,Flaked Oats",,6.8,18.0,4
Smarahd: Wet Hop Pils,Malanka,Pilsner - German,2024-10-14,4.227,40.0,"Magnum,Tettnanger",Pilsner,,4.8,14.0,4
Баланс Белого,Милл Фауз,Wheat Beer - Other,2022-09-12,2.643,,,,,4.0,,4
Hop Headshot: Nelson Sauvin,Midnight Project,IPA - Triple,2024-07-26,4.199,111.0,Nelson Sauvin,,,6.8,,4
Your Quintuple Symbiote Juice,Midnight Project,Sour - Fruited,2021-07-23,4.276,10.0,,,,6.8,,4
Le Bonheur Existe: Calvados BA,Midnight Project,Belgian Quadrupel,2023-12-30,4.035,37.0,,,,6.8,,4
American IPA,Asda,IPA - American,2018-09-01,3.289,,,,,5.2,,4
10th Anniversary Russian Imperial Stout,Salden’s Brewery,Stout - Russian Imperial,2022-11-25,4.053,,,,,6.8,,4
Asphyxia,"Midnight Project,Ability Brewing Project",Stout - Russian Imperial,2024-09-05,4.296,70.0,,,,6.8,,4
Jumis,Malanka,Wheat Beer - Wheat Wine,2024-05-15,4.123,,,"Pilsner,Wheat,Flaked Wheat","Pippali pepper,Bergamot,Rose",6.8,19.5,4
La Fin De La Saison 6,Dieta,Farmhouse Ale - Saison,2023-12-11,3.83,,,,,6.8,,4
Здурнелі зусім і дадалі ў пшанічку Нельсан,Midnight Project,Wheat Beer - Hopfenweisse,2024-09-05,4.123,14.0,,,,6.9,,4
Black Steel,Midnight Project,IPA - Imperial / Double Black,2023-02-24,4.192,90.0,,,,6.8,,4
Imhla: Zappa,Malanka,IPA - New England / Hazy,2023-02-24,4.178,30.0,Zappa,"Pilsner,Flaked Oats,Flaked Wheat,Wheat",,6.0,16.0,4
Abšar: Mosaic,Malanka,IPA - White / Wheat,2024-08-26,4.36,40.0,Mosaic,"Pilsner,Wheat,Flaked Wheat",,6.8,18.0,4
Hop Division,Zagovor Brewery,IPA - American,2016-03-10,3.953,77.0,,,,6.5,,4
Chaliera: Elani,Malanka,IPA - American,2024-08-21,4.225,80.0,Elani,Pilsner,,6.6,16.0,4
Hop Headshot: Motueka,Midnight Project,IPA - Triple,2024-08-23,4.037,111.0,,,,6.8,,4
Rager: Elani,Valaduta,IPA - Imperial / Double,2024-08-29,4.124,70.0,Elani,,,6.8,,4
Tropicana,Art'A Brewery,Mead - Melomel,2022-06-09,3.856,,,,,5.9,,4
Sabro One Love,Jungle Brewery,IPA - Session,2021-04-05,4.216,40.0,Sabro,,,5.0,12.9,4
Vyspa: Talus & Citra Cryo,Malanka,Pale Ale - New England / Hazy,2024-08-14,4.294,40.0,"Talus,Citra","Pilsner,Wheat,Flaked Wheat,Flaked Oats",,5.4,13.0,4
Overdub,Jungle Brewery,IPA - Imperial / Double,2019-09-17,4.208,80.0,"Simcoe,Centennial,Citra,Mosaic,Amarillo",,,6.8,19.0,4
Zavieja: Sabro & HBC 1019,Malanka,IPA - Imperial / Double New England / Hazy,2024-08-12,4.272,40.0,"Sabro,HBC 1019","Pilsner,Wheat,Flaked Wheat,Flaked Oats",,6.8,18.5,4
Yellow Diamond,Midnight Project,IPA - Imperial / Double New England / Hazy,2024-08-01,4.039,30.0,,,,6.8,,4
Imhla: HBC 638,Malanka,IPA - New England / Hazy,2024-08-02,4.27,40.0,HBC 638,"Pilsner,Wheat,Flaked Wheat,Flaked Oats",,6.4,17.5,4
Yellow Dragon,Midnight Project,IPA - Triple New England / Hazy,2022-11-04,4.176,25.0,,,,6.8,,4
