name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
Long Road,Jungle Brewery,Porter - Imperial / Double Baltic,2024-12-23,4.342,30.0,,,,6.8,,4
Конь бельгийский,Hops Brewery,Belgian Blonde,2024-12-05,3.793,14.0,,,,6.8,,4
Liebenbier Hell,Липецкпиво,Lager - Helles,2024-02-11,2.84,,,,,4.7,,3
Blanche Biere,Балтика,Wheat Beer - Witbier / Blanche,2018-09-10,3.181,10.0,,,,4.8,,3
Cats & Dogs,Black Cat Brewery,Stout - Imperial / Double Pastry,2022-06-24,4.084,15.0,,,,6.8,,4
Big Red Avenger,Black Cat Brewery,IPA - Triple,2023-10-20,3.828,50.0,,,,6.8,,4
Behind Space,Chibis Brewery,IPA - Imperial / Double New England / Hazy,2022-03-01,3.75,,,,,6.8,,3
YZHIK KRWA,Magic Mess,Sour - Fruited,2024-06-18,4.113,,,,,5.5,,4
Fiordland Sky,Bierstaat,Pilsner - New Zealand,2024-12-02,3.885,27.0,,,,5.2,,4
Friedenfelser Steinwald Zoigl,Schlossbrauerei Friedenfels,Historical Beer - Zoigl,2014-05-31,3.426,,,,,4.8,,3
Soulful Rhythm,Bierstaat,Brown Ale - American,2024-12-23,,20.0,,,,6.0,,4
Моцны Арэшак (Die Hard),Пан Качын,Mead - Melomel,2024-12-09,4.123,,,,,6.8,,4
Sky Stalker,Jungle Brewery,IPA - Imperial / Double,2024-12-16,4.357,100.0,,,,6.8,,4
Remorseless Winter,Midnight Project,IPA - Cold,2024-12-13,4.047,50.0,"Mosaic,Simcoe",,,6.9,,4
Baltic Spirit,Bierbank,Porter - Baltic,2024-12-25,4.29,25.0,,,,6.8,,4
Здурнелі зусім і дадалі ў пшанічку Сабра,Midnight Project,Wheat Beer - Hopfenweisse,2024-12-20,4.032,24.0,,,,6.9,,4
Tom Yum,Ground Breaker Brewing,Gluten-Free,2015-02-08,3.514,60.0,,,,6.0,,4
Tomato Method Black Pepper And Citrus,Selfmade Brewery,Sour - Tomato / Vegetable Gose,2024-11-15,,10.0,,,,5.6,,4
Pinesleeper,Stamm Brewing,IPA - American,2024-11-29,4.007,,,,,6.5,,4
Golden Cobra,Selfmade Brewery,IPA - New England / Hazy,2024-11-26,4.031,45.0,,,,6.0,,4
Акварель Cashmere/Citra.,Panzer Brewery,IPA - American,2024-10-31,3.995,60.0,,,,6.9,,4
Spirit Reaver,Midnight Project,IPA - Imperial / Double,2024-09-01,,70.0,,,,6.8,,4
Spicy Cocoa Stout,Sozhski Beer,Stout - Milk / Sweet,2024-11-27,4.005,15.0,,,,6.9,,4
Dark Hall,Bierbank,Stout - American,2024-12-12,4.125,40.0,,,,6.8,,4
Rauchbier,Gletcher,Rauchbier,2021-05-17,3.536,30.0,,,,5.1,,4
Wasteland,Bierstaat,IPA - Imperial / Double,2024-11-25,3.629,50.0,,,,6.9,,4
Ručaj: Dvanaccatka,Malanka,Pilsner - Czech / Bohemian,2024-12-13,4.196,40.0,Saaz,"Pilsner,Caramel",,4.8,,4
Harvest Festival,Bierstaat,Wheat Beer - Hefeweizen,2024-11-11,3.729,,,,,5.3,,3
Thunderclap,Bierstaat,Stout - Milk / Sweet,2024-11-11,4.017,,,,,6.2,,4
Blackcurrant Crush,Bierstaat,Fruit Beer,2024-11-04,3.9,,,,,5.5,,4
Resonance,Valaduta,IPA - Brut,2021-10-06,4.117,25.0,Nelson Sauvin,,,6.9,,4
Bavarian Smoked Bier,Privatbrauerei Kaiserdom,Rauchbier,2024-08-12,3.797,,,,,5.3,,4
Курортное,Česky Lev,Lager - Pale,2024-09-08,,,,,,4.5,,3
Löwenbräu Dunkel,Spaten,Lager - Munich Dunkel,2011-08-07,3.4,,,,,5.2,,3
Urban Signal #23,GAS Brew,IPA - American,2024-08-31,4.083,40.0,,,,6.2,,4
Ипатка из рода Тупиков,Chibis Brewery,IPA - American,2024-11-12,,,,,,6.8,,4
Anthocyan. Tkemali Version,Delta Ksi,Sour - Tomato / Vegetable Gose,2024-10-31,3.677,10.0,,,,6.0,18.0,4
Neon Pulse,Bierstaat,IPA - Imperial / Double,2024-10-14,4.016,50.0,,,,6.6,,4
Batyushka,Plan B Brewery,Stout - Russian Imperial,2022-02-08,4.063,30.0,,,,6.8,,4
Boost: Citra & Nelson Sauvin,Jungle Brewery,Pale Ale - New England / Hazy,2024-11-11,4.396,30.0,,,,5.9,,4
Балтийский портер,Августин,Porter - Baltic,2017-12-25,3.886,25.0,,,,6.8,22.0,4
Charnica (Чарніца),Пан Качын,Mead - Melomel,2024-11-11,4.043,,,,,6.0,,4
Rager: HBC-682,Valaduta,IPA - Imperial / Double,2024-11-15,4.339,70.0,,,,6.8,,4
VOID,Main Rule,Stout - Other,2024-11-07,4.114,,,,,6.8,,4
Age of Panic,Main Rule,IPA - New England / Hazy,2024-11-07,4.098,35.0,,,,6.8,,4
Альтернативная анатомия,4BREWERS,IPA - Imperial / Double,2024-11-12,3.808,,,,,6.8,,4
