name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
SQUASH,Бакунин,Pumpkin / Yam Beer,2023-10-26,3.542,40.0,,,,6.0,,4
Climbing Plants,Zagovor Brewery,IPA - New England / Hazy,2022-12-21,4.108,35.0,,,,6.5,,4
Sassy,Magic Mess,Sour - Fruited Gose,2022-07-17,4.121,,,,,5.0,,4
Глазурь,4BREWERS,Stout - Imperial / Double Coffee,2024-06-18,3.907,,,,,6.8,,4
Frederick,Midnight Project,Stout - Imperial / Double Pastry,2024-11-27,4.024,65.0,,,,6.8,,4
All-Black the Necrosword,Midnight Project,IPA - Imperial / Double Black,2024-12-27,4.148,90.0,,,,6.8,,4
Your Quadruple Sour Advent Juice,Midnight Project,Sour - Fruited,2024-11-27,4.336,15.0,,,,6.8,,4
Prost!,Midnight Project,Pilsner - German,2023-05-19,3.877,38.0,,,,5.0,,4
小島さんは鬼才です。,Midnight Project,Lager - Japanese Rice,2024-11-29,3.881,10.0,,,,4.6,,4
Pazuzu,Midnight Project,Stout - American,2024-09-01,,95.0,,,,6.8,,4
Эль карамель,Пивоварня Кожевниково,Lager - Dark,2024-05-04,2.762,,,,,4.3,,3
Здурнелі зусім і дадалі ў пшанічку Сабра,Midnight Project,Wheat Beer - Hopfenweisse,2024-12-20,4.032,24.0,,,,6.9,,4
Harbin Beer,Harbin Brewing,Lager - Pale,2010-11-11,2.445,,,,,3.6,,3
Remorseless Winter,Midnight Project,IPA - Cold,2024-12-13,4.047,50.0,"Mosaic,Simcoe",,,6.9,,4
Zhigulikkeller,"Midnight Project,Mikkeller,Selfmade Brewery",Lager - IPL (India Pale Lager),2019-02-12,3.914,37.0,"Citra,Simcoe",,,4.2,,4
Spectral Elixir,Midnight Project,Pale Ale - New England / Hazy,2024-11-29,4.141,20.0,,,,4.8,,4
Ice Cream Porter Hazelnut,Konix Brewery,Porter - Baltic,2021-12-13,3.808,19.0,,,,6.8,,4
Old Bobby Ale,Балтика,Bitter - Session / Ordinary,2010-10-01,3.157,,,,,4.5,11.0,3
Old Bobby Lager,Балтика,Lager - Pale,2014-01-02,2.83,,,,,4.5,,3
Hop Gun Citra & Mosaic,Stamm Brewing,IPA - American,2015-04-15,3.981,80.0,"Citra,Mosaic",,,6.8,,4
Сидр Биодинамик | Пепин-Шафранный Суворовский уезд (2023) | Фудер #2,Salden’s Brewery,Cider - Dry,2024-09-03,4.131,,,,,6.0,,4
Platan Jedenáctka,Pivovar Protivín,Pilsner - Czech / Bohemian,2013-02-12,3.114,30.0,,,,4.6,11.0,3
Баланс Белого,Милл Фауз,Wheat Beer - Other,2022-09-12,2.643,,,,,4.0,,4
Oblivion,Alt Bier,Stout - Russian Imperial,2019-12-16,4.073,50.0,,,,6.8,,4
